State,Year,Crop,Temperature,Rainfall,Humidity,Soil_pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Area,Production,Yield
West Bengal,2020,Cotton,32.0,804.5,86.3,6.67,56.4,47.7,36.6,1.77,358.3,571.43,1.59
Gujarat,2020,Sugarcane,20.0,732.6,60.6,5.71,51.5,30.4,53.8,1.97,154.1,4450.92,28.89
Rajasthan,2022,Groundnut,27.3,1013.9,58.0,7.14,22.3,20.3,12.0,0.63,349.4,207.03,0.59
Rajasthan,2012,Soybean,34.8,373.0,70.3,5.78,65.1,79.6,91.6,2.32,327.1,654.69,2.0
Uttar Pradesh,2021,Rice,26.9,1293.8,45.7,6.22,88.5,73.0,35.8,2.01,34.0,125.54,3.69
West Bengal,2012,Sugarcane,28.4,1746.5,49.5,4.71,56.1,54.5,12.6,1.64,156.7,4080.2,26.04
Punjab,2019,Rice,34.3,1594.0,85.9,8.47,111.1,72.4,99.4,2.29,283.9,1264.88,4.46
Maharashtra,2020,Soybean,31.5,2019.2,70.7,6.53,73.5,75.5,38.0,0.81,459.3,460.31,1.0
Maharashtra,2010,Cotton,25.2,1157.4,79.6,4.6,61.1,57.3,88.9,1.17,201.3,207.79,1.03
Karnataka,2015,Rice,37.4,1321.8,46.3,6.66,142.1,46.3,50.8,0.4,252.9,794.66,3.14
West Bengal,2011,Soybean,19.1,2035.5,62.6,7.98,54.2,71.7,69.7,1.25,375.3,324.3,0.86
West Bengal,2010,Soybean,39.9,1097.9,88.3,7.59,71.8,49.7,31.7,1.36,401.8,408.36,1.02
Maharashtra,2011,Maize,18.0,1768.9,49.1,7.3,69.7,18.9,55.3,1.62,461.7,764.99,1.66
West Bengal,2021,Sugarcane,15.4,1114.8,39.6,5.06,51.4,35.7,33.2,0.35,249.1,3632.98,14.58
Uttar Pradesh,2015,Maize,37.3,1073.5,60.7,7.13,48.3,41.2,95.6,0.27,97.7,343.98,3.52
Tamil Nadu,2023,Cotton,21.1,1912.5,53.3,7.57,59.3,75.5,15.5,1.17,382.4,216.41,0.57
Haryana,2013,Sugarcane,33.2,478.4,39.6,6.79,132.4,56.1,34.7,0.64,63.7,3130.55,49.17
Rajasthan,2015,Cotton,35.3,879.5,83.3,8.07,119.7,71.3,90.4,1.95,209.8,410.77,1.96
Gujarat,2021,Maize,36.5,599.2,89.4,5.61,108.5,63.0,53.2,1.74,314.5,1275.74,4.06
Karnataka,2018,Groundnut,39.8,929.8,64.1,5.47,79.4,31.7,64.0,0.95,346.2,195.86,0.57
Tamil Nadu,2022,Soybean,22.4,614.4,76.5,7.98,86.0,60.3,68.7,0.31,366.8,950.64,2.59
Maharashtra,2019,Cotton,32.8,1469.5,81.5,7.0,54.7,23.7,16.4,0.62,97.6,56.55,0.58
Rajasthan,2021,Sugarcane,17.9,2005.5,72.1,4.51,29.7,38.6,11.6,1.79,490.8,8611.34,17.54
West Bengal,2019,Sugarcane,25.2,1977.2,32.6,5.91,63.0,66.4,94.4,2.48,90.0,7391.58,82.1
Gujarat,2017,Cotton,36.2,943.0,39.5,7.93,84.4,52.8,34.4,0.95,48.9,68.14,1.39
West Bengal,2010,Sugarcane,24.2,2472.5,34.3,4.61,27.5,67.8,44.2,2.04,332.4,9146.25,27.52
Punjab,2022,Soybean,29.8,1504.9,30.6,4.51,31.5,27.8,71.4,2.19,455.1,202.73,0.45
Punjab,2017,Groundnut,27.6,1028.5,48.4,5.63,54.2,62.5,31.3,0.31,280.1,280.91,1.0
Gujarat,2018,Soybean,31.1,2097.1,53.5,8.16,67.7,24.2,76.0,2.31,298.1,155.25,0.52
Gujarat,2015,Sugarcane,39.3,1838.2,44.5,8.11,71.1,48.2,51.2,1.27,269.7,10140.77,37.6
Maharashtra,2019,Cotton,16.4,1885.7,33.9,6.58,35.3,40.3,87.1,2.42,22.3,12.21,0.55
Gujarat,2014,Maize,29.3,530.5,61.8,6.71,49.4,49.0,35.1,1.44,341.0,945.32,2.77
Uttar Pradesh,2015,Sugarcane,36.6,1197.4,46.4,5.83,54.0,19.5,28.3,0.74,179.7,5330.81,29.66
West Bengal,2022,Sugarcane,27.0,2161.5,77.8,5.47,28.8,35.3,84.9,2.44,467.9,18289.52,39.09
Tamil Nadu,2015,Sugarcane,17.0,1284.9,30.5,7.76,62.4,56.7,39.4,0.76,94.2,3586.41,38.07
Madhya Pradesh,2018,Sugarcane,29.0,1724.5,80.6,4.93,29.4,49.1,47.1,2.23,151.8,4609.83,30.38
Gujarat,2013,Cotton,23.3,1490.4,87.3,6.45,111.4,48.4,81.4,0.6,252.9,300.08,1.19
Karnataka,2011,Maize,18.9,2113.8,73.0,7.04,70.2,45.8,67.2,1.75,239.2,421.02,1.76
Punjab,2020,Maize,36.2,747.2,74.0,4.91,62.5,76.1,49.8,1.15,200.8,566.98,2.82
Uttar Pradesh,2020,Rice,28.0,1459.9,86.0,6.58,36.4,75.4,32.5,2.44,157.9,524.23,3.32
Rajasthan,2018,Sugarcane,38.3,351.9,42.5,6.81,49.4,35.2,78.8,0.62,74.4,2517.14,33.81
Madhya Pradesh,2011,Sugarcane,35.2,1741.0,89.7,7.47,50.3,34.6,26.2,1.14,410.6,13834.93,33.69
Tamil Nadu,2019,Rice,32.3,1843.3,76.4,5.44,148.1,48.8,93.5,1.67,224.9,627.41,2.79
Madhya Pradesh,2018,Maize,15.1,155.0,73.6,5.67,128.6,16.7,23.5,2.45,286.9,772.5,2.69
Gujarat,2011,Wheat,25.7,1705.7,51.7,6.78,22.0,31.2,82.4,0.9,273.7,300.91,1.1
Maharashtra,2021,Soybean,19.9,1066.0,62.7,8.43,100.2,26.2,48.2,1.11,288.2,248.09,0.86
Punjab,2017,Wheat,37.8,354.0,69.2,5.37,53.3,25.6,26.7,1.26,352.7,225.6,0.64
Punjab,2018,Maize,19.4,1078.8,67.2,8.44,33.6,54.7,46.2,0.78,315.1,692.78,2.2
Rajasthan,2021,Groundnut,22.2,525.9,72.3,7.36,111.7,36.9,29.9,2.08,137.7,207.14,1.5
Maharashtra,2019,Sugarcane,27.9,1068.1,34.9,7.8,37.1,22.0,22.2,0.41,277.3,8342.94,30.09
West Bengal,2018,Wheat,21.6,991.6,51.3,4.86,77.7,72.1,31.5,1.82,123.0,189.8,1.54
Haryana,2019,Cotton,20.2,1859.1,56.0,5.7,102.2,71.2,88.1,1.43,294.8,236.52,0.8
Uttar Pradesh,2018,Cotton,30.0,1946.8,45.6,4.73,92.1,70.4,19.5,0.76,216.5,89.9,0.42
Punjab,2011,Rice,17.2,1537.2,40.4,5.99,147.1,37.4,97.5,1.33,20.7,96.5,4.67
Karnataka,2013,Maize,16.5,105.6,38.3,8.43,122.1,14.0,10.4,2.11,367.3,530.71,1.45
Punjab,2016,Maize,24.3,2331.0,52.0,4.92,120.6,17.5,69.2,1.22,138.1,217.59,1.58
Madhya Pradesh,2021,Wheat,33.0,1731.3,59.6,6.75,66.2,29.3,87.1,0.48,460.2,515.68,1.12
Punjab,2011,Sugarcane,28.9,133.8,33.8,4.52,21.1,25.4,94.1,0.29,141.0,2100.2,14.9
Punjab,2010,Maize,25.6,2056.1,86.8,7.35,115.5,71.2,23.0,1.99,498.3,1409.0,2.83
Haryana,2012,Wheat,29.1,540.7,75.9,5.29,150.0,79.0,72.8,0.96,232.0,728.56,3.14
Haryana,2021,Wheat,24.1,1469.1,73.9,5.02,72.8,67.2,19.7,2.34,14.2,13.16,0.93
Tamil Nadu,2013,Soybean,38.4,1193.3,40.4,5.85,148.1,61.1,41.7,1.62,39.1,63.14,1.62
West Bengal,2017,Soybean,16.4,1078.6,66.2,7.58,38.4,51.2,75.9,1.2,42.0,60.49,1.44
Karnataka,2015,Maize,31.8,2229.8,61.8,4.93,58.5,63.9,41.1,1.5,29.1,33.9,1.17
Punjab,2020,Wheat,37.3,1121.5,88.9,5.42,42.2,76.3,38.2,1.25,134.6,111.7,0.83
Punjab,2011,Rice,35.1,234.6,74.9,4.53,81.8,52.1,20.4,2.28,163.0,177.12,1.09
Uttar Pradesh,2018,Rice,19.6,2369.3,64.5,8.37,123.6,20.8,16.0,1.25,56.5,75.81,1.34
Haryana,2023,Soybean,22.4,2305.3,81.0,6.87,64.3,21.5,20.4,0.44,219.6,112.48,0.51
Karnataka,2011,Maize,32.9,1726.9,39.3,7.38,137.8,50.9,88.8,1.57,183.3,490.6,2.68
Rajasthan,2022,Sugarcane,17.1,1196.3,30.9,7.11,90.8,33.3,11.0,1.63,318.5,9265.36,29.09
Tamil Nadu,2021,Groundnut,35.3,277.5,71.4,5.08,80.5,73.7,72.4,1.96,98.7,93.66,0.95
West Bengal,2014,Rice,33.0,1987.3,35.9,6.88,122.3,52.8,79.2,2.35,457.1,2223.43,4.86
Maharashtra,2021,Rice,33.2,234.9,36.9,5.03,33.2,57.4,61.1,1.22,258.5,314.55,1.22
West Bengal,2013,Soybean,17.5,218.1,74.7,6.1,120.6,10.4,75.8,1.01,312.2,429.07,1.37
Madhya Pradesh,2022,Soybean,32.9,1366.6,46.2,6.78,51.6,44.9,68.7,1.33,20.7,22.75,1.1
Punjab,2016,Maize,32.0,442.3,67.7,6.74,56.5,40.2,51.0,2.27,280.0,855.15,3.05
Tamil Nadu,2017,Soybean,35.8,68.9,85.0,4.98,97.9,59.4,44.4,2.45,184.7,145.99,0.79
Madhya Pradesh,2014,Cotton,16.0,1086.6,49.0,4.64,137.3,36.8,94.7,2.43,462.2,501.76,1.09
Karnataka,2019,Groundnut,15.6,386.2,43.0,7.69,95.2,78.4,97.5,0.73,442.9,605.69,1.37
Maharashtra,2023,Wheat,24.3,443.3,36.4,7.4,104.4,56.9,68.6,1.34,319.2,1227.64,3.85
Haryana,2023,Rice,18.7,238.4,37.8,4.83,121.0,56.2,27.8,0.8,384.2,546.87,1.42
Tamil Nadu,2014,Cotton,29.0,552.5,33.7,5.01,53.7,74.4,50.3,1.05,322.7,323.13,1.0
Tamil Nadu,2011,Sugarcane,37.9,1802.9,35.3,8.07,127.5,79.7,54.7,0.27,9.5,578.05,61.06
Punjab,2017,Cotton,24.8,2031.9,55.9,7.58,74.3,23.8,78.2,0.57,351.9,227.75,0.65
Gujarat,2023,Maize,36.1,1158.7,49.3,8.48,42.8,66.7,70.1,1.11,89.4,190.29,2.13
Tamil Nadu,2011,Sugarcane,15.0,1291.1,72.4,5.52,65.5,21.4,56.3,1.04,341.6,8583.46,25.13
Uttar Pradesh,2019,Sugarcane,19.2,130.0,82.2,6.45,52.0,42.0,71.2,0.84,6.2,164.39,26.33
Maharashtra,2021,Soybean,15.8,219.8,77.1,5.45,49.7,17.0,12.2,0.73,156.1,73.55,0.47
Maharashtra,2015,Cotton,23.2,681.0,61.8,6.99,56.7,53.6,79.9,1.92,258.9,433.59,1.67
Uttar Pradesh,2017,Maize,37.7,1382.6,36.1,4.96,43.5,42.8,29.0,0.88,167.3,165.08,0.99
Rajasthan,2015,Rice,17.4,1861.9,72.6,5.01,106.8,54.0,69.1,1.83,347.3,896.0,2.58
Uttar Pradesh,2013,Groundnut,30.2,1532.3,51.8,4.79,95.4,57.5,20.3,1.05,261.8,94.2,0.36
Uttar Pradesh,2022,Soybean,26.3,1010.7,35.1,7.27,104.3,53.4,20.3,2.04,479.9,1041.0,2.17
Maharashtra,2013,Cotton,38.5,339.9,80.5,6.48,64.7,30.6,13.2,0.58,179.5,102.59,0.57
West Bengal,2015,Rice,18.1,1962.9,50.3,6.97,120.1,68.6,91.9,0.56,361.2,1384.09,3.83
Maharashtra,2023,Cotton,20.3,941.3,43.1,8.02,36.8,48.6,64.4,1.76,418.1,377.43,0.9
Gujarat,2022,Soybean,15.7,1853.3,82.3,7.46,94.2,44.3,42.6,2.3,127.6,106.96,0.84
Punjab,2013,Rice,25.8,1306.8,84.1,6.35,55.8,79.1,80.9,0.53,377.3,1461.95,3.87
Madhya Pradesh,2017,Soybean,21.9,1859.7,50.3,8.44,88.6,29.8,66.3,0.37,197.3,102.05,0.52
West Bengal,2018,Cotton,36.7,2272.9,51.3,6.33,62.1,47.0,65.8,2.35,65.2,51.81,0.79
Haryana,2010,Sugarcane,30.1,2306.5,64.8,4.95,122.8,57.8,53.8,0.47,2.8,111.72,39.62
Madhya Pradesh,2022,Groundnut,30.4,1361.0,74.0,8.47,135.9,18.8,10.7,0.78,372.1,137.23,0.37
Punjab,2013,Wheat,28.3,1303.2,33.8,4.59,116.5,34.8,33.3,2.34,93.9,87.69,0.93
Gujarat,2013,Groundnut,17.3,700.9,65.6,6.7,42.8,66.1,19.8,2.05,26.5,30.7,1.16
Gujarat,2011,Sugarcane,26.1,2342.7,87.2,5.74,55.7,26.6,69.6,0.99,249.1,9441.25,37.9
Haryana,2015,Soybean,40.0,1171.9,45.7,6.51,139.5,44.5,32.4,2.4,174.0,268.93,1.55
West Bengal,2012,Groundnut,35.9,362.6,84.5,6.73,76.8,54.1,50.5,1.51,346.2,443.82,1.28
Rajasthan,2016,Soybean,37.3,1110.1,87.0,5.46,142.4,57.0,41.8,0.37,54.6,51.21,0.94
Uttar Pradesh,2022,Soybean,35.6,361.3,46.1,6.73,71.0,61.0,22.9,1.82,67.2,90.58,1.35
West Bengal,2020,Rice,17.6,1281.2,75.3,7.52,143.7,70.6,96.3,1.44,202.6,945.34,4.66
Rajasthan,2020,Maize,20.7,1425.1,44.3,5.57,140.3,37.5,94.0,1.52,260.7,1173.12,4.5
Gujarat,2014,Soybean,15.1,877.5,74.3,6.03,105.9,59.5,17.6,2.49,412.3,842.04,2.04
